agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_08659,HUE,SEV,243.8105558175425,290.9638026303102,completed,0,0.0,0.0,0.0,94.30649362553541,18,56.41183144266124,36.97341405406986,0.0,
TRIP_16206,MAD,BIL,303.6203257578045,303.6203257578045,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_20132,CAS,VAL,272.58684245750084,310.08684245750084,completed,0,0.0,0.0,0.0,75.0,5,40.162825158148856,26.553109329721458,0.0,
TRIP_18386,GRN,MAL,227.8368276895826,321.3887080042413,completed,1,0.0,37.67410373838236,31.395086448651963,130.3814786779781,4,48.32666951122376,52.489017967878034,0.0,
TRIP_15922,MAD,BIL,334.34039867094685,334.34039867094685,stranded,0,0.0,0.0,0.0,412.69345743329603,20,58.5,58.5,0.0,no_reachable_station
TRIP_19658,VAL,CAS,306.33369997510005,338.4765571179572,completed,0,0.0,0.0,0.0,75.0,2,38.36596193170991,22.69655116118965,0.0,
TRIP_20209,CAS,VAL,303.72534189886255,341.22534189886255,completed,0,0.0,0.0,0.0,75.0,5,49.689074324295625,33.468701859075594,0.0,
TRIP_12754,BCN,MUR,345.28208867180587,345.28208867180587,stranded,0,0.0,0.0,0.0,558.6447183263888,22,53.36,53.36,0.0,no_reachable_station
TRIP_21556,BUR,VIT,270.83443826103974,346.1438721357363,completed,1,0.0,27.995792412589584,20.53024776923236,110.3984967449162,8,55.69084072845875,49.46391725827225,0.0,
TRIP_01233,SSB,PMP,308.0298822925734,348.0298822925734,completed,0,0.0,0.0,0.0,80.0,2,21.351554516077307,7.195094569577893,0.0,
TRIP_06464,JAE,GRN,309.05498559056315,349.7463946288989,completed,0,0.0,0.0,0.0,81.38281807667153,8,51.53440234810497,36.97154378004385,0.0,
TRIP_15903,MAD,BIL,353.76125996390624,353.76125996390624,stranded,0,0.0,0.0,0.0,412.69345743329603,20,65.90382854762657,65.90382854762657,0.0,no_reachable_station
TRIP_19703,VAL,CAS,325.1400377786391,357.2828949214962,completed,0,0.0,0.0,0.0,75.0,2,20.59052987413032,4.59,0.0,
TRIP_23946,SEV,HUE,312.4623114822243,359.615558294992,completed,0,0.0,0.0,0.0,94.30649362553541,18,53.7678594439376,35.770769865547834,0.0,
TRIP_06743,JAE,GRN,322.7740291687394,363.4654382070752,completed,0,0.0,0.0,0.0,81.38281807667153,8,37.8004714586675,23.594667438734618,0.0,
TRIP_20287,CAS,VAL,307.81042398567956,363.6936080233259,completed,1,0.0,18.383184037646355,36.76636807529271,75.0,5,29.332842572688904,51.4605220003702,0.0,
TRIP_02238,BCN,MAD,363.8328084633639,363.8328084633639,stranded,0,0.0,0.0,0.0,655.4146223315888,10,32.156445048989966,32.156445048989966,0.0,no_reachable_station
TRIP_19636,VAL,CAS,332.80328316162013,364.94614030447724,completed,0,0.0,0.0,0.0,75.0,2,25.552630104371183,7.0070000000000014,0.0,
TRIP_01760,MAD,BCN,365.55816409256863,365.55816409256863,stranded,0,0.0,0.0,0.0,662.3716680115232,34,58.5,58.5,0.0,no_reachable_station
TRIP_20201,CAS,VAL,316.0739493645288,365.7823026405531,completed,1,0.0,12.208353276024308,24.416706552048616,75.0,5,33.96146608531702,43.60899076032384,0.0,
TRIP_01283,PMP,SSB,326.30360464577495,366.30360464577495,completed,0,0.0,0.0,0.0,80.0,2,47.18403209096454,32.29285336926784,0.0,
TRIP_21842,PMP,SSB,326.82504623722,366.82504623722,completed,0,0.0,0.0,0.0,80.0,2,24.320704566763034,10.087465138113371,0.0,
TRIP_21883,SSB,PMP,329.1546738340405,369.1546738340405,completed,0,0.0,0.0,0.0,80.0,2,22.277347058410474,8.33399988311214,0.0,
TRIP_24376,SCQ,VIG,330.86358093131685,369.7163296072836,completed,0,0.0,0.0,0.0,90.65641357725583,10,36.271621081671945,14.143121191396382,0.0,
TRIP_20117,VAL,CAS,309.78156575704435,369.7376080756597,completed,1,0.0,22.456042318615356,18.71336859884613,75.0,5,27.098526533890592,32.062038596726744,0.0,
TRIP_19676,VAL,CAS,338.4492763761097,370.5921335189669,completed,0,0.0,0.0,0.0,75.0,2,51.59909946573649,35.68091405609468,0.0,
TRIP_08384,SEV,HUE,324.02199499301025,371.17524180577794,completed,0,0.0,0.0,0.0,94.30649362553541,18,56.17904057086722,36.259617649788865,0.0,
TRIP_20623,CAS,VAL,334.05910354289364,371.55910354289364,completed,0,0.0,0.0,0.0,75.0,5,47.86504047603528,32.963404813056485,0.0,
TRIP_24299,VIG,SCQ,304.1209240564995,371.9918754443144,completed,1,0.0,29.018202711848115,29.018202711848115,90.65641357725583,10,37.99363434040372,46.31734015101006,0.0,
TRIP_07980,SEV,HUE,327.0491233247986,374.2023701375663,completed,0,0.0,0.0,0.0,94.30649362553541,18,48.20951430124085,31.394434954197116,0.0,
