agent_id,origin,destination,departure_time_min,arrival_time_min,status,num_charge_stops,total_wait_min,total_charge_min,total_energy_charged_kwh,total_distance_km,route_node_count,initial_soc_kwh,final_soc_kwh,generalized_cost_eur,failure_reason
TRIP_05008,MAD,SEV,298.07390323723087,298.07390323723087,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_00268,MAD,BIL,301.6240007265377,301.6240007265377,stranded,0,0.0,0.0,0.0,410.0,7,55.2,55.2,0.0,no_reachable_station
TRIP_05648,SEV,MAD,302.3170159674805,302.3170159674805,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_05027,MAD,SEV,303.13304256051634,303.13304256051634,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_19502,SEV,MAD,303.4272833231217,303.4272833231217,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_19742,SEV,MAD,306.33369997510005,306.33369997510005,stranded,0,0.0,0.0,0.0,540.0,3,52.78,52.78,0.0,no_reachable_station
TRIP_00590,MAD,BIL,308.00664578069825,308.00664578069825,stranded,0,0.0,0.0,0.0,412.69345743329603,20,45.9,45.9,0.0,no_reachable_station
TRIP_06031,SEV,MAD,308.420876650072,308.420876650072,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_16810,MAD,BIL,308.67665188906125,308.67665188906125,stranded,0,0.0,0.0,0.0,410.0,7,58.5,58.5,0.0,no_reachable_station
TRIP_05583,MAD,SEV,309.87415199289603,309.87415199289603,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_19729,SEV,MAD,311.2655594534893,311.2655594534893,stranded,0,0.0,0.0,0.0,540.0,3,57.6,57.6,0.0,no_reachable_station
TRIP_00252,MAD,BIL,312.11716023120704,312.11716023120704,stranded,0,0.0,0.0,0.0,410.0,7,57.6,57.6,0.0,no_reachable_station
TRIP_19389,SEV,MAD,312.1828727025616,312.1828727025616,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_17033,MAD,BIL,315.09906363666954,315.09906363666954,stranded,0,0.0,0.0,0.0,410.0,7,68.25,68.25,0.0,no_reachable_station
TRIP_06197,SEV,MAD,316.6707200888538,316.6707200888538,stranded,0,0.0,0.0,0.0,540.0,3,55.2,55.2,0.0,no_reachable_station
TRIP_05374,MAD,SEV,317.01479034313763,317.01479034313763,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_05945,SEV,MAD,317.51898495383534,317.51898495383534,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_05714,SEV,MAD,317.8441090246612,317.8441090246612,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_14834,MUR,MAL,318.61116351708625,318.61116351708625,stranded,0,0.0,0.0,0.0,355.3814786779781,8,37.66640169973688,37.66640169973688,0.0,no_reachable_station
TRIP_05659,SEV,MAD,322.3542341820237,322.3542341820237,stranded,0,0.0,0.0,0.0,540.0,3,55.2,55.2,0.0,no_reachable_station
TRIP_08339,MAD,BUR,323.7915147301502,323.7915147301502,stranded,0,0.0,0.0,0.0,240.0,2,45.0,45.0,0.0,no_reachable_station
TRIP_06035,SEV,MAD,323.9714006527198,323.9714006527198,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_19787,SEV,MAD,325.1400377786391,325.1400377786391,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_17274,MAD,BIL,326.0535924998772,326.0535924998772,stranded,0,0.0,0.0,0.0,410.0,7,58.5,58.5,0.0,no_reachable_station
TRIP_08064,MAD,BUR,327.0491233247986,327.0491233247986,stranded,0,0.0,0.0,0.0,240.0,2,66.16066719438709,66.16066719438709,0.0,no_reachable_station
TRIP_08568,BUR,MAD,327.7870285094701,327.7870285094701,stranded,0,0.0,0.0,0.0,240.0,2,58.5,58.5,0.0,no_reachable_station
TRIP_04965,MAD,SEV,328.40251272944334,328.40251272944334,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_19635,SEV,MAD,329.16012169606296,329.16012169606296,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_19629,SEV,MAD,329.8544819171869,329.8544819171869,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05193,MAD,SEV,330.9153462511596,330.9153462511596,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_08355,MAD,BUR,331.59641561294274,331.59641561294274,stranded,0,0.0,0.0,0.0,240.0,2,58.5,58.5,0.0,no_reachable_station
TRIP_04910,MAD,SEV,331.93528966055504,331.93528966055504,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_05912,SEV,MAD,332.45223573549043,332.45223573549043,stranded,0,0.0,0.0,0.0,540.0,3,57.6,57.6,0.0,no_reachable_station
TRIP_05871,SEV,MAD,332.50781305925403,332.50781305925403,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_11003,BIL,ZAR,332.5773998744881,332.5773998744881,stranded,0,0.0,0.0,0.0,326.1279083249022,14,35.07937574607303,35.07937574607303,0.0,no_reachable_station
TRIP_19720,SEV,MAD,332.80328316162013,332.80328316162013,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_19483,SEV,MAD,333.14961665446873,333.14961665446873,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_19953,SEV,MAD,333.6481284452087,333.6481284452087,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_18893,MAD,SEV,334.2888185283255,334.2888185283255,stranded,0,0.0,0.0,0.0,540.0,3,58.5,58.5,0.0,no_reachable_station
TRIP_20216,MAL,GRN,272.58684245750084,335.4805906040188,completed,1,0.0,7.015971570241618,5.846642975201348,130.3814786779781,4,40.162825158148856,18.43862545171156,0.0,
TRIP_18900,MAD,SEV,336.18628650903713,336.18628650903713,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_19217,MAD,SEV,337.0151245377375,337.0151245377375,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_00598,MAD,BIL,337.69303103945276,337.69303103945276,stranded,0,0.0,0.0,0.0,410.0,7,45.9,45.9,0.0,no_reachable_station
TRIP_08790,BUR,MAD,337.70281948693884,337.70281948693884,stranded,0,0.0,0.0,0.0,240.0,2,57.386626133364636,57.386626133364636,0.0,no_reachable_station
TRIP_05639,SEV,MAD,338.14451054900474,338.14451054900474,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_19760,SEV,MAD,338.4492763761097,338.4492763761097,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05977,SEV,MAD,339.47447461717474,339.47447461717474,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_04995,MAD,SEV,340.1834627313072,340.1834627313072,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_14549,MUR,MAL,340.22128025437934,340.22128025437934,stranded,0,0.0,0.0,0.0,355.3814786779781,8,40.050917983064096,40.050917983064096,0.0,no_reachable_station
TRIP_19188,MAD,SEV,340.8461752698927,340.8461752698927,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05854,SEV,MAD,341.38501391837656,341.38501391837656,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_05717,SEV,MAD,342.0624032942925,342.0624032942925,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_17121,MAD,BIL,342.8786712341245,342.8786712341245,stranded,0,0.0,0.0,0.0,412.69345743329603,20,53.36,53.36,0.0,no_reachable_station
TRIP_19959,SEV,MAD,344.0746894781872,344.0746894781872,stranded,0,0.0,0.0,0.0,540.0,3,68.25,68.25,0.0,no_reachable_station
TRIP_05870,SEV,MAD,344.51325502978005,344.51325502978005,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_08418,MAD,BUR,344.5713142970954,344.5713142970954,stranded,0,0.0,0.0,0.0,240.0,2,58.5,58.5,0.0,no_reachable_station
TRIP_11275,BIL,ZAR,344.8059812218842,344.8059812218842,stranded,0,0.0,0.0,0.0,326.1279083249022,14,36.555636559542634,36.555636559542634,0.0,no_reachable_station
TRIP_00127,MAD,BIL,345.04145730312155,345.04145730312155,stranded,0,0.0,0.0,0.0,410.0,7,58.5,58.5,0.0,no_reachable_station
TRIP_19889,SEV,MAD,345.2469880672915,345.2469880672915,stranded,0,0.0,0.0,0.0,540.0,3,57.6,57.6,0.0,no_reachable_station
TRIP_20661,MAD,VLD,346.47984874156833,346.47984874156833,stranded,0,0.0,0.0,0.0,190.0,2,46.61359967361247,46.61359967361247,0.0,no_reachable_station
TRIP_08743,BUR,MAD,243.8105558175425,346.66769867468537,completed,0,0.0,0.0,0.0,240.0,2,64.30470564169428,7.636000000000003,0.0,
TRIP_05485,MAD,SEV,347.34391824623333,347.34391824623333,stranded,0,0.0,0.0,0.0,540.0,3,76.36,76.36,0.0,no_reachable_station
TRIP_05310,MAD,SEV,348.1092586787651,348.1092586787651,stranded,0,0.0,0.0,0.0,540.0,3,53.36,53.36,0.0,no_reachable_station
TRIP_08445,BUR,MAD,348.11377932010555,348.11377932010555,stranded,0,0.0,0.0,0.0,240.0,2,45.9,45.9,0.0,no_reachable_station
TRIP_05395,MAD,SEV,348.41769940650187,348.41769940650187,stranded,0,0.0,0.0,0.0,540.0,3,57.6,57.6,0.0,no_reachable_station
TRIP_06146,SEV,MAD,348.4533115455042,348.4533115455042,stranded,0,0.0,0.0,0.0,540.0,3,57.6,57.6,0.0,no_reachable_station
TRIP_05865,SEV,MAD,348.62711477843266,348.62711477843266,stranded,0,0.0,0.0,0.0,540.0,3,70.07000000000001,70.07000000000001,0.0,no_reachable_station
TRIP_19270,MAD,SEV,349.3929432790924,349.3929432790924,stranded,0,0.0,0.0,0.0,540.0,3,55.2,55.2,0.0,no_reachable_station
